"REPORT_ID","Unit No","No Of Cas","Veh Reg State","Unit Type","Veh Year","Direction Of Travel","Sex","Age","Lic State","Licence Class","Licence Type","Towing","Unit Movement","Number Occupants","Postcode","Rollover","Fire"
"2018-1-15/08/2019","01",0,"SA","Motor Cars - Sedan","2006","North","Male","018","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","001","XXXX",,
"2018-1-15/08/2019","02",0,"SA","Motor Cars - Sedan","2006","East","Male","XXX","SA","C ","Full","Not Towing","Leaving Private Driveway","002","5159",,
"2018-1-15/08/2019","03",0,,"Pedestrian on Footpath/Carpark",,"North","Female","066",,,,,"Walking on Footpath",,"XXXX",,
"2018-1-15/08/2019","04",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2018-2-15/08/2019","01",0,"SA","Station Wagon","2017","East","Male","038","SA","C ","Full","Not Towing","Stopped on Carriageway","003","5085",,
"2018-2-15/08/2019","02",0,"SA","Motor Cars - Tourer","2015","East","Male","033","SA","C ","Full","Not Towing","Straight Ahead","002","5158",,
"2018-3-15/08/2019","01",0,"SA","Motor Cars - Sedan","2005","North East","Male","022","SA","C ","Full","Not Towing","Straight Ahead","002","5107",,
"2018-3-15/08/2019","02",0,"SA","Motor Cars - Sedan","2009","North West","Female","056","SA","C ","Full","Not Towing","Straight Ahead","002","5109",,
"2018-4-15/08/2019","01",2,"SA","Motor Cars - Sedan","2004","South East","Male","044","SA","C ","Provisional 2","Not Towing","Right Turn","004","5112",,
"2018-4-15/08/2019","02",2,"SA","Motor Cars - Sedan","2004","North West","Male","034","SA","C ","Full","Not Towing","Straight Ahead","002","5108",,
"2018-5-15/08/2019","01",1,"SA","Motor Cars - Sedan","2015","North East","Female","030","SA","C ","Full","Not Towing","Straight Ahead","001","5050",,
"2018-5-15/08/2019","02",2,"SA","Motor Cars - Sedan","2015","South West","Male","032","SA","C ","Full","Not Towing","Right Turn","003","5090","Y",
"2018-6-15/08/2019","01",0,"SA","Motor Cars - Sedan","2005","North West","Unknown","XXX","UNKNOWN","XX","Unknown","Not Towing","Straight Ahead","001","XXXX",,
"2018-6-15/08/2019","02",0,,"Pole - not Stobie",,,,,,,,,,,,,
"2018-6-15/08/2019","03",0,,"Tree",,,,,,,,,,,,,
"2018-6-15/08/2019","04",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2018-7-15/08/2019","01",0,"SA","Station Wagon","2011","North East","Male","026","SA","C ","Full","Not Towing","Straight Ahead","003","5023",,
"2018-7-15/08/2019","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2018-8-15/08/2019","01",1,"SA","Motor Cars - Sedan","2011","North West","Female","023","SA","C ","Provisional 2","Not Towing","Swerving","001","5096",,
"2018-8-15/08/2019","02",0,,"Guard Rail",,,,,,,,,,,,,
"2018-9-15/08/2019","01",0,"SA","Motor Cars - Sedan","2000","North","Female","058","SA","C ","Provisional 2","Not Towing","Right Turn","001","5073",,
"2018-9-15/08/2019","02",0,"SA","Motor Cars - Sedan","2008","West","Female","022","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5118",,
"2018-9-15/08/2019","03",0,"SA","Motor Cars - Sedan","2003","West","Male","073","SA","MCR ","Full","Not Towing","Stopped on Carriageway","001","5067",,
"2018-10-15/08/2019","01",0,"SA","Utility","2011","North West","Male","037","SA","MR","Full","Not Towing","Swerving","001","5502",,
"2018-10-15/08/2019","02",0,,"Guard Rail",,,,,,,,,,,,,
"2018-10-15/08/2019","03",0,,"Tree",,,,,,,,,,,,,
"2018-11-15/08/2019","01",2,"SA","Station Wagon","2016","East","Male","049","SA","C ","Full","Not Towing","Stopped on Carriageway","004","5125",,
"2018-11-15/08/2019","02",0,"SA","Motor Cars - Sedan","1999","East","Male","032","SA","C ","Full","Not Towing","Straight Ahead","001","5000",,
"2018-12-15/08/2019","01",0,"SA","Motor Cars - Sedan","2001","South West","Male","031","SA","C ","Full","Not Towing","Swerving","001","5108",,
"2018-12-15/08/2019","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2018-13-15/08/2019","01",0,"SA","Motor Cars - Sedan","2002","West","Male","040","SA","C ","Full","Not Towing","Straight Ahead","001","5162",,
"2018-13-15/08/2019","02",0,,"Tree",,,,,,,,,,,,,
"2018-13-15/08/2019","03",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2018-14-15/08/2019","01",1,"SA","Station Wagon","2014","West","Male","042","SA","C ","Full","Not Towing","Right Turn","001","5006",,
"2018-14-15/08/2019","02",1,"SA","Motor Cars - Sedan","1999","South East","Female","043","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5164",,
"2018-15-15/08/2019","01",0,"SA","Panel Van","2016","North","Male","XXX","SA","C ","Full","Not Towing","Straight Ahead","002","5251",,
"2018-15-15/08/2019","02",0,"UNKNOWN","Motor Vehicle - Type Unknown","XXXX","North","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Straight Ahead","001","XXXX",,
"2018-15-15/08/2019","03",0,,"Other Inanimate Object",,,,,,,,,,,,,
"2018-16-15/08/2019","01",0,"SA","Motor Cars - Sedan","2011","South","Female","056","SA","C ","Full","Not Towing","Straight Ahead","003","5043",,
"2018-16-15/08/2019","02",0,"SA","Station Wagon","2015","East","Female","036","SA","C ","Full","Not Towing","Straight Ahead","006","5063",,
"2018-16-15/08/2019","03",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2018-17-15/08/2019","01",1,"SA","Motor Cycle","2007","South East","Male","021","SA","C RD","Full","Not Towing","Straight Ahead","001","5066",,
"2018-17-15/08/2019","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2018-18-15/08/2019","01",1,"SA","Utility","1998","South","Female","040","SA","C ","Full","Not Towing","Straight Ahead","001","5290",,
"2018-18-15/08/2019","02",0,,"Tree",,,,,,,,,,,,,
"2018-19-15/08/2019","01",0,"SA","Motor Cars - Sedan","2008","North West","Male","031","SA","HR","Full","Not Towing","Swerving","001","5112",,
"2018-19-15/08/2019","02",0,,"Animal - Wild",,,,,,,,,,,,,
"2018-19-15/08/2019","03",0,,"Tree",,,,,,,,,,,,,
"2018-20-15/08/2019","01",1,"SA","Station Wagon","2015","North West","Male","041","SA","C ","Full","Not Towing","Right Turn","001","5087",,
"2018-20-15/08/2019","02",0,"SA","Panel Van","2005","South West","Male","028","SA","C ","Full","Not Towing","Straight Ahead","002","5087",,
"2018-21-15/08/2019","01",0,"SA","Station Wagon","2003","North","Female","043","SA","C ","Full","Not Towing","Right Turn","001","5251",,
"2018-21-15/08/2019","02",0,"SA","Motor Cars - Sedan","2004","South","Male","039","UNKNOWN","C ","Full","Not Towing","Straight Ahead","005","5042",,
"2018-21-15/08/2019","03",0,,"Traffic Signal Pole",,,,,,,,,,,,,
"2018-22-15/08/2019","01",0,"SA","Motor Cycle","1997","North East","Male","017","SA","C RD","Learners","Not Towing","Straight Ahead","001","5606",,
"2018-22-15/08/2019","02",0,"SA","Station Wagon","2009","South East","Male","053","SA","C ","Full","Not Towing","Straight Ahead","001","5606",,
"2018-23-15/08/2019","01",1,"SA","Motor Cars - Sedan","1996","East","Male","019","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5009",,
"2018-23-15/08/2019","02",0,,"Stobie Pole",,,,,,,,,,,,,
"2018-24-15/08/2019","01",1,"SA","Motor Cycle","2004","North West","Male","053","SA","HRR ","Full","Not Towing","Straight Ahead","001","5022",,
"2018-24-15/08/2019","02",0,"SA","Motor Cars - Sedan","1997","North West","Male","028","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","001","5023",,
"2018-25-15/08/2019","01",0,"SA","Motor Cars - Sedan","2013","North",,,,,,"Not Towing","Parked","000",,,
"2018-25-15/08/2019","02",0,"SA","Motor Cars - Sedan","2007","North","Male","025","SA","C ","Provisional 2","Unknown","Straight Ahead","001","5023",,
"2018-25-15/08/2019","03",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2018-26-15/08/2019","01",0,"SA","Panel Van","2010","South West","Male","017","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","001","5118",,
"2018-26-15/08/2019","02",0,,"Wire Rope Barrier",,,,,,,,,,,,,
"2018-27-15/08/2019","01",1,"SA","Station Wagon","1994","North","Female","024","SA","C ","Full","Not Towing","Straight Ahead","001","5501","Y",
"2018-28-15/08/2019","01",0,"SA","Motor Cycle","2017","South East","Male","057","UNKNOWN","MCR ","Full","Not Towing","Straight Ahead","001","XXXX",,
"2018-28-15/08/2019","02",0,,"Tree",,,,,,,,,,,,,
"2018-29-15/08/2019","01",1,"SA","Motor Cars - Sedan","2004","West","Female","049","SA","C ","Full","Not Towing","Straight Ahead","001","5260",,
"2018-29-15/08/2019","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2018-30-15/08/2019","01",0,"SA","Motor Cars - Sedan","2016","West","Male","087","SA","C ","Full","Not Towing","Unparking -Angle","002","5064",,
"2018-30-15/08/2019","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2018-31-15/08/2019","01",1,"SA","Station Wagon","2001","North West","Male","045","SA","C ","Full","Not Towing","Straight Ahead","002","5255",,
"2018-31-15/08/2019","02",0,"NSW","Utility","XXXX","North West",,,,,,"Not Towing","Parked","000",,,
"2018-31-15/08/2019","03",0,"VIC","Motor Vehicle - Type Unknown","XXXX","North West",,,,,,"Unknown","Parked","000",,,
"2018-31-15/08/2019","04",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2018-32-15/08/2019","01",1,"SA","Motor Cars - Sedan","2005","North","Female","066","SA","C ","Full","Not Towing","Straight Ahead","001","5116",,
"2018-32-15/08/2019","02",0,"SA","Station Wagon","2002","East","Male","058","SA","C R ","Full","Not Towing","Leaving Private Driveway","001","5093",,
"2018-33-15/08/2019","01",0,"SA","RIGID TRUCK LGE GE 4.5T","1993","East","Male","048","SA","MR","Full","Not Towing","Straight Ahead","001","5007",,
"2018-33-15/08/2019","02",0,,"Stobie Pole",,,,,,,,,,,,,
"2018-34-15/08/2019","01",0,"SA","Motor Cars - Sedan","1999","South West","Male","038","SA","C ","Full","Not Towing","Right Turn","001","5108",,
"2018-34-15/08/2019","02",0,"SA","Station Wagon","2005","South East","Female","031","SA","C ","Full","Not Towing","Right Turn","001","5066",,
"2018-35-15/08/2019","01",0,"SA","Station Wagon","2017","South East","Female","054","SA","C ","Full","Not Towing","Straight Ahead","002","5118",,
"2018-35-15/08/2019","02",0,"SA","Motor Cars - Sedan","2006","North East","Male","025","SA","C ","Full","Not Towing","Straight Ahead","001","5114",,
"2018-36-15/08/2019","01",0,"SA","Motor Cars - Sedan","2005","North West","Male","055","SA","C ","Full","Not Towing","Parked","001","5074",,
"2018-36-15/08/2019","02",1,"SA","Station Wagon","2005","North West","Female","041","SA","C ","Full","Not Towing","Straight Ahead","001","5074",,
"2018-36-15/08/2019","03",1,,"Pedestrian on Footpath/Carpark",,"Unknown","Female","048",,,,,"Walking on Footpath",,"5074",,
"2018-37-15/08/2019","01",1,"SA","Motor Cars - Sedan","2016","East","Female","051","SA","C ","Full","Not Towing","Left Turn","001","5043",,
"2018-37-15/08/2019","02",0,"SA","Motor Cars - Sedan","1990","North","Male","023","SA","C ","Provisional 2","Not Towing","Swerving","001","5168",,
"2018-38-15/08/2019","01",0,"SA","Other Defined Special Vehicle","2011","South","Male","045","SA","HRRD","Full","Not Towing","Reversing","001","5112",,
"2018-38-15/08/2019","02",0,"SA","Station Wagon","2011","East","Male","037","SA","C ","Full","Not Towing","Leaving Private Driveway","002","5025",,
"2018-39-15/08/2019","01",0,"SA","Station Wagon","2002","North East","Male","019","SA","C ","Provisional 2","Not Towing","Right Turn","003","5251","Y",
"2018-40-15/08/2019","01",0,"SA","Motor Cars - Sedan","2014","North East","Female","079","SA","XX","Full","Not Towing","Straight Ahead","001","5234",,
"2018-40-15/08/2019","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2018-41-15/08/2019","01",0,"SA","Motor Cars - Sedan","2000","South","Male","020","O/S","C ","Full","Not Towing","Straight Ahead","001","5033",,
"2018-41-15/08/2019","02",1,"SA","Motor Cars - Sedan","2007","West","Male","067","SA","C ","Full","Not Towing","Straight Ahead","002","5015",,
"2018-42-15/08/2019","01",0,"SA","Motor Cars - Sedan","2014","South West","Male","022","SA","C ","Full","Not Towing","Straight Ahead","001","5007",,
"2018-42-15/08/2019","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2018-43-15/08/2019","01",0,"SA","Motor Cars - Sedan","1998","North East","Male","028","SA","C ","Unlicenced","Not Towing","Straight Ahead","002","5009",,
"2018-43-15/08/2019","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2018-44-15/08/2019","01",0,"SA","Motor Cars - Sedan","2002","South","Female","019","SA","C ","Provisional 2","Not Towing","UnParking - Parallel","001","XXXX",,
"2018-44-15/08/2019","02",1,,"Pedestrian on Road",,"North","Male","021",,,,,"Walking on Road",,"5115",,
"2018-45-15/08/2019","01",0,"SA","SEMI TRAILER","2012","North West","Male","049","SA","HC","Full","Trailer","Straight Ahead","001","5354",,
"2018-45-15/08/2019","02",0,"UNKNOWN","Motor Vehicle - Type Unknown","XXXX","North West","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Swerving","001","XXXX",,
"2018-46-15/08/2019","01",0,"SA","Motor Cars - Sedan","2013","North East","Female","050","SA","C ","Full","Not Towing","Straight Ahead","001","5373",,
"2018-46-15/08/2019","02",0,,"Animal - Wild",,,,,,,,,,,,,
"2018-47-15/08/2019","01",0,"SA","Station Wagon","2004","South","Female","037","SA","C ","Full","Not Towing","Straight Ahead","001","5024",,
"2018-47-15/08/2019","02",0,"SA","Motor Cars - Sedan","1998","South","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","UnParking - Parallel","001","XXXX",,
"2018-48-15/08/2019","01",0,"SA","Motor Cars - Sedan","2002","South East","Male","023","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","001","5108",,
"2018-48-15/08/2019","02",0,"SA","Utility","2003","South East",,,,,,"Unknown","Parked","000",,,
"2018-48-15/08/2019","03",0,"SA","Station Wagon","2001","South East",,,,,,"Unknown","Parked","000",,,
"2018-49-15/08/2019","01",0,"SA","Motor Cars - Sedan","2009","South East","Female","061","SA","HRR ","Full","Not Towing","Straight Ahead","002","XXXX",,
"2018-49-15/08/2019","02",0,,"Tree",,,,,,,,,,,,,
"2018-50-15/08/2019","01",1,"SA","Station Wagon","1995","West","Male","034","SA","C ","Full","Not Towing","Straight Ahead","001","5050",,
"2018-50-15/08/2019","02",0,"SA","Motor Cars - Sedan","2014","North","Male","037","SA","C ","Full","Not Towing","Right Turn","001","XXXX",,
"2018-51-15/08/2019","01",0,"SA","Station Wagon","2002","South East","Female","067","SA","C ","Full","Not Towing","Straight Ahead","002","5255",,
"2018-51-15/08/2019","02",0,"SA","Station Wagon","2006","South East","Male","046","SA","C R ","Full","Not Towing","Stopped on Carriageway","004","5064",,
"2018-51-15/08/2019","03",0,"SA","Motor Cars - Sedan","2010","South East","Male","038","SA","C ","Full","Not Towing","Stopped on Carriageway","003","5163",,
"2018-52-15/08/2019","01",0,"SA","Motor Cycle","2013","North East","Male","030","SA","HRR ","Full","Not Towing","Straight Ahead","001","5009",,
"2018-52-15/08/2019","02",0,"NSW","Motor Cars - Sedan","XXXX","North East","Male","XXX","UNKNOWN","C ","Full","Not Towing","Straight Ahead","001","5013",,
"2018-53-15/08/2019","01",1,"SA","Motor Cars - Sedan","2007","West","Female","053","SA","C ","Full","Not Towing","Straight Ahead","001","5066",,
"2018-53-15/08/2019","02",0,"UNKNOWN","Motor Vehicle - Type Unknown","XXXX","West","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Straight Ahead","001","XXXX",,
"2018-54-15/08/2019","01",0,"SA","Station Wagon","2017","South West","Female","041","SA","C ","Full","Not Towing","Unparking -Angle","001","5211",,
"2018-54-15/08/2019","02",1,,"Pedestrian on Road",,"South West","Male","067",,,,,"Walking on Road",,"5256",,
"2018-55-15/08/2019","01",0,"SA","Other Defined Special Vehicle","2009","North West","Male","054","SA","HCR ","Full","Not Towing","Reversing","002","5244",,
"2018-55-15/08/2019","02",0,"UNKNOWN","Utility","2012","North West","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Straight Ahead","001","XXXX",,
"2018-56-15/08/2019","01",0,"SA","Motor Cars - Sedan","2014","North","Male","073","SA","C ","Full","Not Towing","Right Turn","001","5022",,
"2018-56-15/08/2019","02",0,"SA","Motor Cars - Sedan","2016","South","Male","034","SA","C ","Full","Not Towing","Straight Ahead","001","5046",,
"2018-56-15/08/2019","03",0,"SA","Motor Cars - Sedan","2009","West","Female","030","SA","C ","Provisional 2","Not Towing","Stopped on Carriageway","005","XXXX",,
"2018-57-15/08/2019","01",2,"SA","Station Wagon","2007","South East","Male","017","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","002","5554",,
"2018-57-15/08/2019","02",0,,"Tree",,,,,,,,,,,,,
"2018-58-15/08/2019","01",0,"SA","Station Wagon","2009","North","Male","051","SA","C ","Full","Not Towing","Straight Ahead","001","5110",,
"2018-58-15/08/2019","02",0,,"Sign Post",,,,,,,,,,,,,
"2018-59-15/08/2019","01",0,"SA","Panel Van","2015","North","Female","021","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5074",,
"2018-59-15/08/2019","02",0,"SA","Station Wagon","2016","North East","Male","071","SA","LR","Full","Not Towing","Right Turn","004","5067",,
"2018-60-15/08/2019","01",1,"SA","Motor Cars - Sedan","2005","South West","Female","026","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5089",,
"2018-60-15/08/2019","02",0,"SA","Station Wagon","2003","South West","Female","021","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5089",,
"2018-60-15/08/2019","03",0,"SA","Utility","2005","South West","Male","033","SA","HR","Full","Not Towing","Stopped on Carriageway","001","5091",,
"2018-61-15/08/2019","01",2,"SA","Motor Cars - Sedan","2008","South West","Male","033","SA","C ","Full","Not Towing","Entering Private Driveway","002","5162",,
"2018-61-15/08/2019","02",0,"SA","Station Wagon","1999","South West","Male","021","SA","C ","Full","Not Towing","Straight Ahead","002","5255",,
"2018-62-15/08/2019","01",0,"SA","Motor Vehicle - Type Unknown","XXXX","North",,,,,,"Unknown","Parked","000",,,
"2018-62-15/08/2019","02",0,"SA","Motor Cars - Sedan","2003","North","Male","029","UNKNOWN","C R ","Full","Trailer","Straight Ahead","002","5253",,
"2018-62-15/08/2019","03",0,"SA","Motor Cars - Sedan","1997","West","Male","021","UNKNOWN","C R ","Full","Not Towing","Straight Ahead","001","5253",,
"2018-62-15/08/2019","04",0,"UNKNOWN","Motor Vehicle - Type Unknown","XXXX","West",,,,,,"Unknown","Parked","000",,,
"2018-62-15/08/2019","05",0,,"Other Inanimate Object",,,,,,,,,,,,,
"2018-62-15/08/2019","06",0,,"Sign Post",,,,,,,,,,,,,
"2018-63-15/08/2019","01",0,"VIC","Motor Cars - Sedan","2016","East","Male","028","VIC","C ","Full","Not Towing","Overtaking - on Right","002","3220",,
"2018-63-15/08/2019","02",0,,"Tree",,,,,,,,,,,,,
"2018-64-15/08/2019","01",0,"SA","Motor Cars - Sedan","2014","West","Female","037","SA","C ","Full","Not Towing","Straight Ahead","001","5110",,
"2018-64-15/08/2019","02",0,"SA","Station Wagon","2000","South","Male","060","SA","C ","Full","Not Towing","Reversing","001","5013",,
"2018-65-15/08/2019","01",1,"SA","Motor Cars - Sedan","1999","West","Male","043","SA","C ","Unlicenced","Not Towing","Straight Ahead","001","5086",,
"2018-65-15/08/2019","02",0,"SA","Station Wagon","2003","North","Male","042","SA","C ","Full","Not Towing","Right Turn","002","5086","Y",
"2018-66-15/08/2019","01",0,"SA","Station Wagon","2016","West","Female","017","SA","C ","Provisional 1 ","Not Towing","Left Turn","001","5085",,
"2018-66-15/08/2019","02",1,,"Pedal Cycle",,"South","Male","063",,,,,"Straight Ahead","001","5000",,
"2018-67-15/08/2019","01",0,"SA","Motor Cars - Sedan","2006","East","Female","018","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5038",,
"2018-67-15/08/2019","02",1,"SA","Station Wagon","2013","East","Male","047","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5161",,
"2018-68-15/08/2019","01",0,"SA","OMNIBUS","2015","North West","Male","037","SA","HR","Full","Not Towing","Straight Ahead","002","5108",,
"2018-68-15/08/2019","02",0,"SA","Utility","2014","North West","Male","037","SA","HRR ","Full","Not Towing","Straight Ahead","001","5042",,
"2018-69-15/08/2019","01",0,"SA","Motor Cars - Sedan","2000","North East","Male","031","SA","C ","Provisional 2","Not Towing","Parked","001","5096",,
"2018-69-15/08/2019","02",0,"SA","Motor Cars - Sedan","2015","North East","Male","035","SA","C ","Full","Not Towing","Straight Ahead","001","5010",,
"2018-70-15/08/2019","01",0,"SA","Motor Cars - Sedan","2003","North","Female","070","SA","C ","Full","Not Towing","Straight Ahead","001","5126",,
"2018-70-15/08/2019","02",0,"SA","Station Wagon","1996","North",,,,,,"Not Towing","Parked","000",,,
"2018-70-15/08/2019","03",0,"SA","Station Wagon","1999","North",,,,,,"Not Towing","Parked","000",,,
"2018-71-15/08/2019","01",0,"SA","Motor Cars - Sedan","2003","South West","Male","028","SA","C ","Full","Trailer","Straight Ahead","001","5253",,
"2018-71-15/08/2019","02",0,"SA","Utility","2003","West",,,,,,"Trailer","Parked","000",,,
"2018-72-15/08/2019","01",0,"SA","Station Wagon","2010","South East","Male","018","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5251",,
"2018-73-15/08/2019","01",0,"SA","SEMI TRAILER","2017","North West","Male","033","SA","HC","Full","Trailer","Straight Ahead","001","5087",,
"2018-73-15/08/2019","02",0,"SA","Motor Cars - Sedan","2000","North West","Unknown","042","SA","C ","Full","Not Towing","Straight Ahead","001","5016",,
"2018-73-15/08/2019","03",0,"SA","Motor Cars - Sedan","2000","North West",,,,,,"Unknown","Parked","000",,,
"2018-74-15/08/2019","01",0,"SA","Motor Cars - Sedan","2009","West","Female","019","SA","C ","Provisional 2","Not Towing","Entering Private Driveway","001","5045",,
"2018-74-15/08/2019","02",1,,"Pedal Cycle",,"West","Male","047",,,,,"Straight Ahead","001","5039",,
"2018-75-15/08/2019","01",0,"SA","Utility","2013","North East","Male","XXX","SA","C ","Full","Not Towing","Straight Ahead","002","5035",,
"2018-75-15/08/2019","02",0,"SA","Motor Cars - Sedan","2016","North East","Male","056","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5086",,
"2018-75-15/08/2019","03",0,"SA","Station Wagon","2017","North East","Male","042","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5098",,
"2018-76-15/08/2019","01",0,"SA","Station Wagon","2016","West","Male","049","SA","C ","Full","Not Towing","Straight Ahead","001","5162",,
"2018-76-15/08/2019","02",0,"SA","Motor Cars - Sedan","2013","West","Female","041","SA","C ","Full","Not Towing","Straight Ahead","001","5162",,
"2018-77-15/08/2019","01",0,"SA","Station Wagon","2005","South East","Female","035","SA","C ","Full","Not Towing","Straight Ahead","001","5112",,
"2018-77-15/08/2019","02",0,"SA","Motor Cars - Sedan","2002","South East","Female","XXX","SA","C ","Full","Not Towing","Entering Private Driveway","002","5112",,
"2018-78-15/08/2019","01",1,"SA","Station Wagon","2006","North","Female","040","SA","C ","Full","Not Towing","Straight Ahead","002","5161",,
"2018-78-15/08/2019","02",1,"SA","Motor Cars - Sedan","2002","East","Female","019","SA","C ","Provisional 2","Not Towing","Leaving Private Driveway","001","5161",,
"2018-79-15/08/2019","01",0,"SA","Motor Cars - Sedan","2005","East","Male","026","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5162",,
"2018-79-15/08/2019","02",0,"SA","Motor Cars - Sedan","2009","East","Male","020","SA","C ","Provisional 2","Not Towing","Straight Ahead","002","5164",,
"2018-80-15/08/2019","01",0,"SA","Station Wagon","2014","South East","Female","030","SA","C ","Full","Not Towing","Stopped on Carriageway","002","5084",,
"2018-80-15/08/2019","02",0,"SA","OMNIBUS","2011","South East","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Straight Ahead","001","XXXX",,
"2018-81-15/08/2019","01",0,"NSW","Motor Cars - Sedan","XXXX","North","Male","041","SA","C ","Full","Not Towing","Leaving Private Driveway","004","5159",,
"2018-81-15/08/2019","02",0,"UNKNOWN","SEMI TRAILER","XXXX","West","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Straight Ahead","001","XXXX",,
"2018-82-15/08/2019","01",0,"SA","Motor Cycle","2011","South East","Male","022","SA","RD","Provisional 2","Not Towing","Stopped on Carriageway","001","5014",,
"2018-82-15/08/2019","02",0,"UNKNOWN","RIGID TRUCK LGE GE 4.5T","XXXX","South East","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Reversing","001","XXXX",,
"2018-83-15/08/2019","01",1,,"Pedal Cycle",,"East","Male","059",,,,,"Straight Ahead","001","5251","Y",
"2018-84-15/08/2019","01",0,"SA","Station Wagon","2008","South","Male","067","SA","C R ","Full","Not Towing","Stopped on Carriageway","001","5125",,
"2018-84-15/08/2019","02",0,"SA","Motor Cars - Sedan","2010","South","Female","027","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5087",,
"2018-85-15/08/2019","01",1,"SA","Motor Cars - Sedan","2011","South","Male","085","SA","C ","Full","Not Towing","Entering Private Driveway","001","5173",,
"2018-85-15/08/2019","02",1,,"Pedestrian on Footpath/Carpark",,"South","Female","014",,,,,"Walking on Footpath",,"XXXX",,
"2018-85-15/08/2019","03",1,,"Pedestrian on Footpath/Carpark",,"North","Male","051",,,,,"Walking on Footpath",,"XXXX",,
"2018-85-15/08/2019","04",1,,"Pedestrian on Footpath/Carpark",,"South","Female","062",,,,,"Walking on Footpath",,"XXXX",,
"2018-86-15/08/2019","01",0,"SA","Motor Vehicle - Type Unknown","2008","South","Male","021","SA","C ","Full","Not Towing","Swerving","001","5112",,
"2018-86-15/08/2019","02",0,,"Tree",,,,,,,,,,,,,
"2018-87-15/08/2019","01",0,"SA","Station Wagon","2000","North","Male","074","SA","C R ","Full","Trailer","Swerving","002","5461",,
"2018-87-15/08/2019","02",1,"SA","Motor Cars - Sedan","2002","North","Male","031","SA","C ","Full","Not Towing","Straight Ahead","002","5114",,
"2018-88-15/08/2019","01",0,"SA","Motor Cars - Sedan","2008","North","Female","022","SA","C ","Full","Not Towing","Left Turn","003","5012",,
"2018-88-15/08/2019","02",0,"SA","RIGID TRUCK LGE GE 4.5T","2008","North","Male","067","SA","HR","Full","Not Towing","Left Turn","001","5024",,
"2018-88-15/08/2019","03",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2018-89-15/08/2019","01",0,"SA","Station Wagon","2008","East","Male","044","SA","C ","Full","Not Towing","Right Turn","004","5085",,
"2018-89-15/08/2019","02",0,"SA","Motor Cars - Sedan","2003","North West","Female","056","SA","C ","Full","Not Towing","Straight Ahead","001","5204",,
"2018-90-15/08/2019","01",0,"SA","Motor Cars - Sedan","2000","North East",,,,,,"Not Towing","Straight Ahead","000",,,
"2018-90-15/08/2019","02",0,"SA","Station Wagon","2011","North West","Female","032","SA","C ","Full","Not Towing","Straight Ahead","001","XXXX",,
"2018-91-15/08/2019","01",0,"SA","Motor Cars - Sedan","2001","South","Female","022","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","001","5159",,
"2018-91-15/08/2019","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2018-92-15/08/2019","01",0,"SA","BDOUBLE - ROAD TRAIN","2010","South","Male","056","SA","MC","Full",,"Straight Ahead","001","5242",,
